data;

set TipoInversiones := Acciones Bonos;

set Periodos := 1 2 3;

set Periodos2 := 2 3;

set Escenarios := S1 S2 S3 S4 S5 S6 S7 S8;

param b := 55000;

param G := 80000;

param q := 1;

param r := 1;

param probabilidad := 0.125;

param ind :=

[1,*,*] : S1 S2 S3 S4 S5 S6 S7 S8 :=
	S1 1 1 1 1 1 1 1 1 
	S2 1 1 1 1 1 1 1 1 
	S3 1 1 1 1 1 1 1 1 
	S4 1 1 1 1 1 1 1 1 
	S5 1 1 1 1 1 1 1 1 
	S6 1 1 1 1 1 1 1 1 
	S7 1 1 1 1 1 1 1 1 
	S8 1 1 1 1 1 1 1 1 
	
[2,*,*] : S1 S2 S3 S4 S5 S6 S7 S8 :=
	S1 1 1 1 1 0 0 0 0
	S2 1 1 1 1 0 0 0 0
	S3 1 1 1 1 0 0 0 0	
	S4 1 1 1 1 0 0 0 0
	S5 0 0 0 0 1 1 1 1
	S6 0 0 0 0 1 1 1 1
	S7 0 0 0 0 1 1 1 1
	S8 0 0 0 0 1 1 1 1

[3,*,*] : S1 S2 S3 S4 S5 S6 S7 S8 :=
	S1 1 1 0 0 0 0 0 0
	S2 1 1 0 0 0 0 0 0
	S3 0 0 1 1 0 0 0 0	
	S4 0 0 1 1 0 0 0 0
	S5 0 0 0 0 1 1 0 0
	S6 0 0 0 0 1 1 0 0
	S7 0 0 0 0 0 0 1 1
	S8 0 0 0 0 0 0 1 1;

param E :=

[Acciones,*,*] : S1 S2 S3 S4 S5 S6 S7 S8 :=
	1 1.25 1.25 1.25 1.25 1.06 1.06 1.06 1.06 
	2 1.25 1.25 1.06 1.06 1.25 1.25 1.06 1.06 
	3 1.25 1.06 1.25 1.06 1.25 1.06 1.25 1.06 
	
[Bonos,*,*] : S1 S2 S3 S4 S5 S6 S7 S8 :=
	1 1.14 1.14 1.14 1.14 1.12 1.12 1.12 1.12
	2 1.14 1.14 1.12 1.12 1.14 1.14 1.12 1.12
	3 1.14 1.12 1.14 1.12 1.14 1.12 1.14 1.12;
		
end;
