data;

set C := c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19;

set V := v0 v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19;

param p : v0 v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 :=
      c0 6 20 9 19 8 18 7 16 5 15 4 14 3 13 2 12 1 11 10 17
      c1 11 1 12 2 13 3 14 4 15 5 16 6 17 7 18 8 19 9 20 10
      c2 1 18 9 19 10 20 11 2 12 3 13 4 14 5 15 6 16 7 17 8
      c3 1 2 19 20 18 17 16 6 10 3 11 4 12 5 13 7 14 8 15 9
      c4 9 20 10 19 8 18 7 17 6 16 5 15 4 14 1 13 2 12 3 11
      c5 1 16 14 12 10 8 6 4 2 3 5 7 9 11 13 15 17 18 19 20
      c6 16 20 15 19 14 18 13 17 6 12 5 11 4 10 3 9 2 8 1 7
      c7 10 20 9 19 8 18 7 17 6 16 5 15 4 14 3 13 1 12 2 11
      c8 8 17 10 20 9 19 7 18 6 16 5 15 4 14 3 12 2 11 1 13
      c9 1 11 10 20 9 19 8 18 7 17 6 16 5 15 4 14 3 13 2 12
      c10 1 2 19 20 17 18 15 16 13 14 11 12 9 10 7 8 5 6 3 4
      c11 2 1 19 20 18 10 13 5 12 4 11 3 14 6 15 7 16 8 17 9
      c12 9 19 10 20 8 18 7 17 1 15 2 14 3 13 4 12 5 11 6 16
      c13 1 2 19 20 17 18 15 16 13 14 11 12 9 10 7 8 5 6 3 4
      c14 1 2 20 19 18 17 16 15 14 13 12 11 10 9 3 4 5 6 7 8
      c15 18 19 17 16 15 7 14 6 13 5 12 4 9 1 10 2 11 3 20 8
      c16 10 11 18 20 17 19 14 7 9 1 8 2 12 3 13 4 15 5 16 6
      c17 1 20 10 19 8 18 7 17 6 15 5 2 11 3 12 9 13 4 14 16
      c18 19 20 15 16 13 14 11 12 9 10 7 8 5 6 3 4 1 2 17 18
      c19 1 11 2 12 3 13 4 14 5 15 6 16 7 17 8 18 9 19 10 20;

end;
